Name,Description,Category,Price,Tags
Kadhai Mix Veg,,,Rs 349,
Kadhi Chawal for Two [special offer],,,Rs 379,
Kakori Kebab,,,Rs 449,
Kebab Party Box [Non-Veg],,,Rs 1299,
Kebab Party Box [Veg],,,Rs 999,
Keema Macaroni,,,Rs 429,
Kulche Chholey,,,Rs 199,
Kung Pao,,,Rs 299,
Kurkure Chicken Momos,,,Rs 299,
Kurkure Veg Momos,,,Rs 249,
Lachha Parantha,,,Rs 79,
Lachha Pyaz,,,Rs 15,
Maasi ke Aloo Gobhi,,,Rs 219,
Malai Chicken Tikka,,,Rs 499,
Malai Kofta,,,Rs 249,
Manchow Soup,,,Rs 249,
Masala Chai [with sugar],,,Rs 179,
Masala Chai [without sugar],,,Rs 179,
Masala Omelette with Pav,,,Rs 199,
Masala Pyaz,,,Rs 15,
Mattar Mushroom,,,Rs 349,
Mattar Paneer,,,Rs 249,
Mini Dabeli,,,Rs 249,
Mini Galouti Pav,,,Rs 449,
Mini Ragi Vada Pav [6pc],,,Rs 269,
Mini Vada Pav [6 pc],,,Rs 249,"SPICY, BESTSELLER"
Mix Vegetable,,,Rs 229,
Mixed Achaar [15gm],,,Rs 10,
Mumbai Tawa Pulao,,,Rs 349,
Mummy ki Macaroni,,,Rs 259,
Mutton Burrah,,,Rs 599,
Mutton Keema Pav Bhaji,,,Rs 449,NEW
Mutton Seekh,,,Rs 499,
Nani ke Rajma Chawal,,,Rs 219,SPICY
Padosi ka Veg Manchurian,,,Rs 229,
Pakoda [veg],,,Rs 99,
Palak Khichdi,,,Rs 229,
Pammi Aunty ke Kadhi Chawal,,,Rs 219,
Paneer Lababdar,,,Rs 429,
Paneer Makhani Pasta,,,Rs 349,
Paneer Tak-a-Tak Pulao,,,Rs 349,
Paneer Tikka Achari,,,Rs 399,
Paneer Tikka Masala,,,Rs 239,
Paneer Tikka Masala Pav,,,Rs 179,
Paneer Tikka Tawa Masala,,,Rs 379,
Phulka,,,Rs 39,
Pink Sauce Penne Pasta,,,Rs 399,
Plain Dahi - 250ml,,,Rs 69,
Plain Naan,,,Rs 59,
Plain Roomali,,,Rs 59,
Prawns Butter Garlic,,,Rs 899,
Prawns Hot Garlic,,,Rs 899,
Ragi Vada Pav,,,Rs 99,
Raita Garlic - 250ml,,,Rs 99,
Raita Plain - 250ml,,,Rs 79,
Rajma Chawal for Two [special offer],,,Rs 379,SPICY
Rarha Meat,,,Rs 599,
Raste ka Aloo wala Bread Pakoda,,,Rs 129,
Red Sauce Pasta [veg],,,Rs 399,
Restaurant wala Butter Chicken,,,Rs 299,
Restaurant wala Paneer Makhani,,,Rs 259,
Rosy Aunty ke Veg Momo,,,Rs 199,
Schezwan Fried Rice,,,Rs 249,
Shahi Tukra,,,Rs 229,
Shredded Chicken Butter Garlic,,,Rs 299,
Sirka Pyaz,,,Rs 15,
Steamed Basmati Rice,,,Rs 179,
Steamed Rice,,,Rs 179,
Stir Fry in Black Pepper Sauce,,,Rs 299,
Stir Fry in Oyster Sauce [non-veg],,,Rs 399,
Stir Fry in Oyster Sauce [veg],,,Rs 299,
Stir Fry in Szechwan Sauce,,,Rs 299,
Sunday waali Mutton Curry,,,Rs 429,
