Name,Description,Category,Price,Tags
Sliced Fish Messaman Curry,,,Rs 595,
Sliced Fish Rendang Bali Indonaise a Balines Rendang Curry Pot,,,Rs 595,
Sliced Fish The Classic Curry Pot,,,Rs 595,
Smashed Avocado and Sour Dough Toast,,,Rs 565,
Smoked Mushroom Galauti,,,Rs 495,
Smoked Mutton Galauti,,,Rs 695,
Smoked Paneer Makhan Marka,,,Rs 695,
Smoked Salmon and Avocado Salad,,,Rs 1295,BESTSELLER
Smoked Truffle Malai Tandoori Chicken Skewer,,,Rs 625,
Som Tum Salad,,,Rs 495,SPICY
Southern California Sushi [8 Pieces],,,Rs 895,
Spaghetti Aglio Olio Pasta,,,Rs 625,
Spicy Scallion Sichuan Prawns,,,Rs 995,
Spicy Vegetable Bao,,,Rs 495,
Stuffed Mushroom Tikka,,,Rs 565,
Tabanjan Soya and Garlic Prawns,,,Rs 995,
Tandoori Broccoli in Kasundi Mustard,,,Rs 565,
Tandoori Fish Tikka,,,Rs 895,
Tandoori Jumbo Prawns in Kasundi Mustard,,,Rs 995,
Tandoori Mushroom Tikka,,,Rs 495,
Tandoori Roti,,,Rs 75,
Tandoori Soya Chaap Purani Dilli,,,Rs 525,
Tawa Chicken,,,Rs 795,
Tenderloin Ginger Bambo,,,Rs 845,
Tenderloin Mangolian Curry,,,Rs 595,
Tenderloin Messaman Curry,,,Rs 595,
Tenderloin Rendang Bali Indonaise a Balines Rendang Curry Pot,,,Rs 595,
Tenderloin Sichuan Chilli Oil,,,Rs 595,
Tenderloin The Classic Curry Pot,,,Rs 595,
Teriyaki Tofu and Green Salad,,,Rs 535,
Thai Style Salad,,,Rs 555,
The Classic Curry Pot,,,Rs 595,
Tiramisu,,,Rs 555,
Tofu Black Pepper,,,Rs 595,
Tofu Spinach Bao,,,Rs 525,
Tom Yum Soup,,,Rs 375,
Tres Leches Mot Ichor Perfait,,,Rs 555,
Truffle Enoki Bao,,,Rs 525,
Truffle Enoki Sushi [8 Pieces],,,Rs 895,
Truffle Fries,,,Rs 395,
Truffle Tempura Prawns,,,Rs 995,
Truffle and Porcini Pizza [12 inches],,,Rs 865,
Veg Hot Sour Soup,,,Rs 375,
Veg Mangolian Curry,,,Rs 595,
Veggie Ortolana Pizza [12 inches],,,Rs 795,
Versace Buffalo Mozzarella Pizza [12 inches],,,Rs 795,
