Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
Jeera Rice,Jeera Rice is a  item priced at Rs 170.,,Rs 170,,Unknown,Uncategorized
Kaad Kanchel Pepper Fry,Kaad Kanchel Pepper Fry is a  item priced at Rs 250.,,Rs 250,,Unknown,Uncategorized
Kane Masala Fry,Kane Masala Fry is a  item priced at Rs 300.,,Rs 300,,Unknown,Uncategorized
Kane Rava Fry,Kane Rava Fry is a  item priced at Rs 300.,,Rs 300,,Unknown,Uncategorized
Kane Tawa Fry,Kane Tawa Fry is a  item priced at Rs 300.,,Rs 300,,Unknown,Uncategorized
Kori Rotti Curry,Kori Rotti Curry is a  item priced at Rs 260.,,Rs 260,,Unknown,Uncategorized
Lemon Chicken Boneless,Lemon Chicken Boneless is a delicious chicken dish priced at Rs 220.,,Rs 220,,Non-Vegetarian,Uncategorized
Marwai Sukka,Marwai Sukka is a  item priced at Rs 220.,,Rs 220,,Unknown,Uncategorized
Masala Cheese Omelette,Masala Cheese Omelette is a  item priced at Rs 150.,,Rs 150,,Vegetarian,Uncategorized
Masala Tandoori Papad,Masala Tandoori Papad is a  item priced at Rs 100.,,Rs 100,,Unknown,Uncategorized
Mix Veg Urval,Mix Veg Urval is a  item priced at Rs 220.,,Rs 220,,Vegetarian,Uncategorized
Mushroom Chilli,Mushroom Chilli is a  item priced at Rs 190.,,Rs 190,,Vegetarian,Uncategorized
Mushroom Ghee Roast,Mushroom Ghee Roast is a  item priced at Rs 260.,,Rs 260,,Vegetarian,Uncategorized
Mushroom Omelette,Mushroom Omelette is a  item priced at Rs 150.,,Rs 150,,Vegetarian,Uncategorized
Mushroom Pepper Dry,Mushroom Pepper Dry is a  item priced at Rs 170.,,Rs 170,,Vegetarian,Uncategorized
Mushroom Urval,Mushroom Urval is a  item priced at Rs 220.,,Rs 220,,Vegetarian,Uncategorized
Mutton Fry,Mutton Fry is a  item priced at Rs 300.,,Rs 300,,Non-Vegetarian,Uncategorized
Mutton Ghee Roast,Mutton Ghee Roast is a  item priced at Rs 330.,,Rs 330,,Non-Vegetarian,Uncategorized
Mutton Keema Ball,Mutton Keema Ball is a  item priced at Rs 300.,,Rs 300,,Non-Vegetarian,Uncategorized
Mutton Pepper Fry,Mutton Pepper Fry is a  item priced at Rs 300.,,Rs 300,,Non-Vegetarian,Uncategorized
Mutton Sukka,Mutton Sukka is a  item priced at Rs 310.,,Rs 310,,Non-Vegetarian,Uncategorized
Omelette [2 Eggs],Omelette [2 Eggs] is a  item priced at Rs 120.,,Rs 120,,Non-Vegetarian,Uncategorized
Palak Khichdi,Palak Khichdi is a  item priced at Rs 200.,,Rs 200,,Unknown,Uncategorized
Palak Paneer,Palak Paneer is a classic Indian vegetarian dish priced at Rs 210.,,Rs 210,,Vegetarian,Uncategorized
Palak Rice,Palak Rice is a  item priced at Rs 190.,,Rs 190,,Unknown,Uncategorized
Paneer Bhurji,Paneer Bhurji is a classic Indian vegetarian dish priced at Rs 210.,,Rs 210,,Vegetarian,Uncategorized
Paneer Butter Masala,Paneer Butter Masala is a classic Indian vegetarian dish priced at Rs 210.,,Rs 210,,Vegetarian,Uncategorized
Paneer Chilli,Paneer Chilli is a classic Indian vegetarian dish priced at Rs 190.,,Rs 190,,Vegetarian,Uncategorized
Paneer Ghee Roast,Paneer Ghee Roast is a classic Indian vegetarian dish priced at Rs 260.,,Rs 260,,Vegetarian,Uncategorized
Paneer Pepper Dry,Paneer Pepper Dry is a classic Indian vegetarian dish priced at Rs 170.,,Rs 170,,Vegetarian,Uncategorized
Paneer Urval,Paneer Urval is a classic Indian vegetarian dish priced at Rs 240.,,Rs 240,,Vegetarian,Uncategorized
Peanut Masala,Peanut Masala is a  item priced at Rs 100.,,Rs 100,,Unknown,Uncategorized
Peri Peri Chicken,Peri Peri Chicken is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Plain Kulcha,Plain Kulcha is a  item priced at Rs 55.,,Rs 55,,Unknown,Uncategorized
Plain Naan,Plain Naan is a  item priced at Rs 50.,,Rs 50,,Unknown,Uncategorized
Plain Roti,Plain Roti is a  item priced at Rs 40.,,Rs 40,,Unknown,Uncategorized
Pomfret Masala Fry,Pomfret Masala Fry is a  item priced at Rs 600.,,Rs 600,,Unknown,Uncategorized
Pomfret Rava Fry,Pomfret Rava Fry is a  item priced at Rs 600.,,Rs 600,,Unknown,Uncategorized
Pomfret Tandoori,Pomfret Tandoori is a  item priced at Rs 650.,,Rs 650,,Unknown,Uncategorized
Pomfret Tawa Fry,Pomfret Tawa Fry is a  item priced at Rs 600.,,Rs 600,,Unknown,Uncategorized
Prawns Chilli,Prawns Chilli is a  item priced at Rs 260.,,Rs 260,,Non-Vegetarian,Uncategorized
Prawns Curry,Prawns Curry is a  item priced at Rs 300.,,Rs 300,,Non-Vegetarian,Uncategorized
Prawns Ghee Roast,Prawns Ghee Roast is a  item priced at Rs 330.,,Rs 330,,Non-Vegetarian,Uncategorized
Prawns Kabab,Prawns Kabab is a  item priced at Rs 220.,,Rs 220,,Non-Vegetarian,Uncategorized
Prawns Sukka,Prawns Sukka is a  item priced at Rs 280.,,Rs 280,,Non-Vegetarian,Uncategorized
Prawns Tawa Fry,Prawns Tawa Fry is a  item priced at Rs 300.,,Rs 300,,Non-Vegetarian,Uncategorized
Rava Silver Fish,Rava Silver Fish is a  item priced at Rs 200.,,Rs 200,,Non-Vegetarian,Uncategorized
Raw Jackfruit Crisps,Raw Jackfruit Crisps is a  item priced at Rs 150.,,Rs 150,,Unknown,Uncategorized
Raw Mango Masala,Raw Mango Masala is a  item priced at Rs 150.,,Rs 150,,Unknown,Uncategorized
Schezwan Chicken Fried Rice,Schezwan Chicken Fried Rice is a delicious chicken dish priced at Rs 210.,,Rs 210,,Non-Vegetarian,Uncategorized
Schezwan Chicken Hakka Noodles,Schezwan Chicken Hakka Noodles is a delicious chicken dish priced at Rs 220.,,Rs 220,,Non-Vegetarian,Uncategorized
Squid Fry,Squid Fry is a  item priced at Rs 280.,,Rs 280,,Unknown,Uncategorized
Squid Rings,Squid Rings is a  item priced at Rs 250.,,Rs 250,,Unknown,Uncategorized
Stuffed Crab,Stuffed Crab is a  item priced at Rs 600.,,Rs 600,,Unknown,Uncategorized
Tandoor Chicken,Tandoor Chicken is a delicious chicken dish priced at Rs 275.,,Rs 275,,Non-Vegetarian,Uncategorized
Tandoori Aloo Tikka,Tandoori Aloo Tikka is a  item priced at Rs 170.,,Rs 170,,Unknown,Uncategorized
Tandoori Broccoli Lasooni Kebab,Tandoori Broccoli Lasooni Kebab is a  item priced at Rs 220.,,Rs 220,,Unknown,Uncategorized
Tandoori Fish Tikka,Tandoori Fish Tikka is a  item priced at Rs 260.,,Rs 260,,Non-Vegetarian,Uncategorized
Tandoori Gobi Tikka,Tandoori Gobi Tikka is a  item priced at Rs 170.,,Rs 170,,Unknown,Uncategorized
Tandoori Hariyali Chicken Kebab,Tandoori Hariyali Chicken Kebab is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Tandoori Lehsuni Chicken Kebab,Tandoori Lehsuni Chicken Kebab is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Tandoori Malai Chicken Tikka,Tandoori Malai Chicken Tikka is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Tandoori Mushroom Tikka,Tandoori Mushroom Tikka is a  item priced at Rs 210.,,Rs 210,,Vegetarian,Uncategorized
Tandoori Paneer Tikka,Tandoori Paneer Tikka is a classic Indian vegetarian dish priced at Rs 210.,,Rs 210,,Vegetarian,Uncategorized
Usli,Usli is a  item priced at Rs 90.,,Rs 90,,Unknown,Uncategorized
Veg Fried Rice,Veg Fried Rice is a  item priced at Rs 170.,,Rs 170,,Vegetarian,Uncategorized
Veg Hakka Noodles,Veg Hakka Noodles is a  item priced at Rs 180.,,Rs 180,,Vegetarian,Uncategorized
Veg Hara Bhara Kabab,Veg Hara Bhara Kabab is a  item priced at Rs 190.,,Rs 190,,Vegetarian,Uncategorized
Veg Hot and Sour Soup,Veg Hot and Sour Soup is a  item priced at Rs 150.,,Rs 150,,Vegetarian,Uncategorized
Veg Hyderabadi,Veg Hyderabadi is a  item priced at Rs 220.,,Rs 220,,Vegetarian,Uncategorized
Veg Kolhapuri,Veg Kolhapuri is a  item priced at Rs 220.,,Rs 220,,Vegetarian,Uncategorized
Veg Manchow Soup,Veg Manchow Soup is a  item priced at Rs 150.,,Rs 150,,Vegetarian,Uncategorized
Veg Sweet Corn Soup,Veg Sweet Corn Soup is a  item priced at Rs 150.,,Rs 150,,Vegetarian,Uncategorized
